iter	Passed	Remaining
203	5023	19600
204	5026	19494
205	5059	19499
206	5061	19390
207	5066	19290
208	5104	19319
209	5107	19214
210	5113	19122
211	5160	19179
212	5197	19202
213	5200	19101
214	5236	19119
215	5240	19021
216	5242	18914
217	5245	18815
218	5250	18723
219	5294	18770
220	5326	18774
221	5346	18736
222	5348	18635
223	5350	18537
224	5353	18438
225	5356	18345
226	5359	18249
227	5361	18155
228	5363	18059
229	5434	18193
230	5438	18104
231	5444	18021
232	5502	18113
233	5505	18022
234	5548	18063
235	5551	17972
236	5600	18028
237	5605	17946
238	5614	17877
239	5649	17890
240	5666	17847
241	5682	17799
242	5685	17710
243	5687	17623
244	5780	17813
245	5785	17732
246	5853	17845
247	5856	17757
248	5858	17669
249	5860	17582
250	5916	17654
251	5924	17586
252	5926	17497
253	6024	17693
254	6030	17619
255	6033	17535
256	6035	17448
257	6174	17758
258	6181	17684
259	6196	17635
260	6213	17593
261	6246	17593
262	6259	17541
263	6310	17591
264	6322	17536
265	6407	17680
266	6415	17611
267	6423	17545
268	6425	17459
269	6428	17379
270	6430	17297
271	6431	17214
272	6612	17608
273	6678	17696
274	6682	17616
275	6684	17535
276	6773	17680
277	6775	17596
278	6776	17512
279	6778	17429
280	6779	17347
281	6781	17265
282	6782	17184
283	6859	17294
284	6868	17231
285	6869	17150
286	6875	17079
287	6961	17211
288	6972	17154
289	6985	17102
290	7037	17146
291	7049	17092
292	7058	17032
293	7086	17018
294	7092	16950
295	7098	16883
296	7107	16823
297	7112	16754
298	7113	16678
299	7193	16784
300	7195	16710
301	7199	16639
302	7200	16563
303	7207	16501
304	7238	16494
305	7241	16424
306	7243	16349
307	7244	16276
308	7246	16204
309	7247	16132
310	7347	16278
311	7350	16208
312	7353	16141
313	7356	16071
314	7357	16000
315	7456	16140
316	7459	16071
317	7465	16011
318	7470	15948
319	7479	15893
320	7484	15831
321	7485	15762
322	7487	15692
323	7488	15624
324	7490	15556
325	7491	15488
326	7605	15652
327	7608	15587
328	7613	15527
329	7652	15535
330	7657	15477
331	7659	15410
332	7660	15343
333	7665	15284
334	7667	15219
335	7670	15158
336	7672	15094
337	7712	15105
338	7714	15042
339	7741	15027
340	7742	14962
341	7749	14909
342	7752	14850
343	7781	14838
344	7789	14788
345	7790	14725
346	7792	14664
347	7794	14603
348	7795	14541
349	7867	14611
350	7869	14550
351	7885	14517
352	7946	14565
353	7965	14536
354	7967	14476
355	7971	14420
356	7975	14365
357	8103	14532
358	8136	14527
359	8139	14470
360	8152	14431
361	8160	14382
362	8163	14324
363	8290	14485
364	8301	14442
365	8360	14483
366	8363	14424
367	8364	14364
368	8370	14314
369	8373	14257
370	8380	14208
371	8408	14194
372	8413	14142
373	8422	14097
374	8670	14450
375	8681	14407
376	8689	14358
377	8690	14300
378	8720	14287
379	8722	14230
380	8723	14173
381	8727	14119
382	8728	14061
383	8729	14003
384	8731	13947
385	8733	13891
386	8734	13834
387	8735	13778
388	8736	13722
389	8791	13750
390	8792	13695
391	8794	13640
392	8796	13586
393	8934	13742
394	8965	13732
395	9031	13775
396	9033	13720
397	9060	13704
398	9092	13695
399	9183	13775
400	9196	13738
401	9318	13861
402	9335	13829
403	9340	13780
404	9379	13779
405	9384	13730
406	9385	13675
407	9388	13622
408	9421	13614
409	9423	13560
410	9428	13512
411	9432	13461
412	9471	13462
413	9483	13423
414	9516	13414
415	9543	13397
416	9575	13387
417	9595	13360
418	9597	13307
419	9598	13255
420	9600	13203
421	9641	13206
422	9643	13153
423	9644	13101
424	9645	13049
425	9646	12997
426	9647	12946
427	9648	12894
428	9649	12843
429	9650	12793
430	9652	12742
431	9653	12692
432	9705	12708
433	9788	12765
434	9795	12722
435	9832	12718
436	9834	12670
437	9909	12714
438	9936	12697
439	9978	12700
440	9981	12652
441	9982	12602
442	9983	12552
443	9990	12510
444	10016	12491
445	10021	12448
446	10059	12444
447	10062	12398
448	10175	12487
449	10202	12469
450	10224	12446
451	10231	12404
452	10232	12356
453	10235	12309
454	10236	12261
455	10237	12213
456	10299	12237
457	10300	12189
458	10302	12142
459	10306	12098
460	10308	12052
461	10357	12061
462	10359	12015
463	10368	11976
464	10371	11932
465	10376	11890
466	10377	11843
467	10381	11801
468	10382	11755
469	10384	11710
470	10386	11665
471	10388	11620
472	10402	11590
473	10409	11550
474	10438	11537
475	10441	11494
476	10443	11450
477	10448	11410
478	10456	11373
479	10458	11330
480	10473	11300
481	10474	11256
482	10484	11222
483	10485	11178
484	10486	11135
485	10487	11091
486	10488	11048
487	10489	11005
488	10490	10962
489	10491	10920
490	10492	10877
491	10493	10834
492	10494	10792
493	10495	10750
494	10496	10708
495	10498	10667
496	10499	10625
4498	10569	10612
499	10599	10599
500	10603	105615501	10725	10639
502	10733	10605
503	10850	10678
504	10898	10683
505	10915	10656
506	10916	10615
507	10920	10576
508	11039	10648
509	11040	10607
510	11042	10567
511	11044	10526
512	11239	10669
513	11243	10631
514	11247	10592
515	11249	10551
516	11250	10510
517	11252	10470
518	11253	10429
519	11255	10389
520	11256	10349
521	11258	10309
522	11380	10379
523	11384	10341
524	11389	10304
525	11424	10294
526	11431	10259
527	11438	10224
528	11439	10185
529	11441	10145
530	11442	10106
531	11444	10067
532	11447	10029
533	11452	9994
534	11562	10049
535	11570	10016
536	11576	9981
537	11578	9942
538	11579	9904
539	11581	9865
540	11636	9872
541	11639	9835
542	11643	9799
543	11645	9761
544	11689	9759
545	11691	9721
546	11697	9687
547	11709	9657
548	11753	9655
549	11758	9620
550	11783	9602
551	11825	9597
552	11829	9562
553	11830	9524
554	11832	9487
555	11833	9449
556	11834	9412
557	11835	9375
558	11911	9397
559	11919	9365
560	11922	9329
561	11925	9293
562	11927	9258
563	12048	9314
564	12067	9290
565	12068	9254
566	12074	9221
567	12076	9185
568	12129	9188
569	12131	9151
570	12134	9116
571	12135	9080
572	12137	9045
573	12143	9012
574	12145	8976
575	12171	8959
576	12172	8923
577	12173	8888
578	12174	8852
579	12176	8817
580	12177	8781
581	12178	8746
582	12179	8711
583	12180	8676
584	12182	8641
585	12192	8613
586	12196	8581
587	12198	8547
588	12234	8537
589	12235	8502
5590	12240	8471
591	12256	8447
592	12333	8464
593	12337	8432
594	12339	8399
595	12395	8402
596	12398	8369
597	12401	8336
598	12476	8352
599	12478	8318
600	12515	8309
601	12520	8277
602	12636	8319
603	12704	8329
604	12712	8299
605	12719	8269
606	12794	8283
607	12797	8251
608	12800	8218
609	12911	8255
610	12915	8222
611	12916	8189
612	12961	8182
613	12966	8151
614	12970	8119
615	12972	8086
616	13014	8078
617	13087	8089
618	13145	8091
619	13148	8058
620	13151	8026
621	13174	8006
622	13176	7973
623	13205	7957
624	13208	7924
625	13211	7893
626	13216	7862
627	13218	7829
628	13220	7797
629	13222	7765
630	13224	7733
631	13348	7772
632	13354	7742
633	13355	7710
634	13399	7702
635	13401	7670
636	13403	7637
637	13404	7605
638	13405	7573
639	13409	7542
640	13415	7513
641	13504	7530
642	13506	7498
643	13508	7467
644	13510	7436
645	13512	7404
646	13515	7373
647	13622	7399
648	13627	7370
649	13630	7339
650	13634	7309
651	13636	7278
652	13637	7246
653	13704	7250
654	13705	7218
655	13706	7187
656	13716	7160
657	13756	7149
658	13757	7118
659	13759	7088
660	13763	7058
661	13820	7056
662	13832	7030
663	13835	7001
664	13885	6995
665	13887	6964
666	13923	6951
667	13930	6923
668	13936	6895
669	13945	6868
670	13946	6838
671	13948	6807
672	13949	6777
673	14017	6780
674	14022	6751
675	14027	6723
676	14061	6708
677	14063	6679
678	14102	6666
679	14128	6648
680	14136	6622
681	14139	6592
682	14206	6593
683	14208	6564
684	14245	6550
685	14336	6562
686	14356	6540
687	14360	6512
688	14361	6482
689	14415	6476
690	14421	6448
691	14428	6421
692	14441	6397
693	14444	6369
694	14449	6341
695	702	14440	6100
703	14441	6072
704	14443	6043
705	14444	6699	14491	6210
700	14493	6182
701	14496	6153
702	709	14545	5703	14603	6140
704	14644	6127
705	14687	6116
706	14688	6087
707	14707	6065
708	14716	6040
709	14745	6022
710	14750	5995
711	14758	5969
712	14760	5941
713	14762	5913
714	14881	5931
715	14885	5904
716	14890	5877
717	14891	5848
718	14929	5834
719	726	14926	5605
727	15080	5634
728	15095	5611
729	15101	5585
730	15134	5569
731	15177	5556
732	15201	5537
733	15207	5511
734	15333	5528
735	15335	5500
736	15367	5483
737	15419	5474
738	15421	5446
739	15422	5418
740	15424	5391
741	15503	5390
742	15505	5363
743	15557	5352
744	15558	5325
745	15570	5301
746	15571	5273
747	15589	5251
748	15596	5226
749	15598	5199
750	15693	5203
751	15701	5177
752	15702	5150
753	15703	5123
754	15725	5102
755	15726	5075
756	15736	5051
757	15737	5024
758	15739	4997
759	15741	4971
760	15743	4944
761	15744	4917
762	15745	4890
763	15767	4870
764	15769	4844
765	15769	4817
766	15775	4792
767	15797	4772
768	15798	4745
769	15801	4720
770	15805	4694
771	15806	4668
772	15808	4766	773	15841	4625
774	15842	4599
775	15843	4573
776	15845	4770	15959	4740
771	15965	4715
772	16009	4701
773	16071	4692
774	16124	4681
775	16125	4654
776	16137	4631
777	16139	4605
778	16167	4586
779	16178	4563
780	16179	4536
781	16236	4526
782	16238	4500
783	16274	4483
784	16393	4490
785	16395	4463
786	16397	4437
787	16410	4414
788	16440	4396
789	16444	4371
790	16485	4355
791	16488	4330
792	16563	4323
793	16568	4298
794	16585	4276
795	16587	4251
796	16590	4225
797	16592	4200
798	16704	4202
799	16706	4176
800	16756	4162
801	16771	4140
802	16795	4120
803	16803	4096
804	16805	4070
805	16806	4045
806	16848	4029
807	16850	4004
808	16862	3981
809	16900	3964
810	16908	3940
811	16957	3926
812	16960	3901
813	16984	3880
814	17086	3878
815	17092	3854
816	17094	3828
817	17095	3803
818	17096	3778
819	17098	3753
820	17137	3736
821	17176	3719
822	17183	3695
823	17203	3674
824	17205	3649
825	17243	3632
826	17256	3609
827	17257	3584
828	17261	3560
829	17336	3550
830	17386	3535
831	17435	3520
832	17436	3495
833	17436	3470
834	17437	3445
835	17474	3427
836	17475	3403
837	17477	3378
838	17479	3354
839	17556	3344
840	17567	3321
841	17577	3298
842	17579	3273
843	17580	3249
844	17612	3230
845	17616	3206
846	17618	3182
847	17636	3161
848	17638	3137
849	17639	3112
850	17640	3088
851	17642	3064
852	17643	3040
853	17650	3017
854	17658	2994
855	17669	2972
856	17682	2950
857	17684	2926
858	17685	2903
859	17689	2879
860	17745	2864
861	17750	2841
862	17832	2830
863	17836	2807
864	17874	2789
865	17885	2767
866	17892	2744
867	17958	2731
868	17960	2707
869	17961	2683
870	18001	2666
871	18008	2643
872	18134	2638
873	18159	2618
874	18192	2598
875	18222	2579
876	18292	2565
877	18295	2542
878	18300	2519
879	18306	2496
880	18359	2479
881	18422	2464
882	18427	2441
883	18429	2418
884	18431	2395
885	18434	2371
886	18435	2348
887	18441	2325
888	18443	2302
889	18450	2280
890	18454	2257
891	18455	2234
892	18463	2212
893	18468	2189
894	18471	2167
895	18525	2150
896	18538	2128
897	18539	2105
898	18541	2083
899	18551	2061
900	18553	2038
901	18903	18521	1966
904	18584	1950
905	18598	1929
906	18610	1908
907	18637	1888
908	18640	1866
909	18666	1846
910	18668	1823
911	18669	1801
912	18683	1780
913	18696	1759
914	18697	1736
915	18698	1714
916	18718	1694
917	18756	1675
918	18761	1653
919	18766	1631
920	18775	1610
921	18814	1591
922	18832	1571
923	18833	1549
924	18852	1528
925	18855	1506
926	18861	1485
927	18877	1464
928	18878	1442
929	18882	1421
930	18886	1399
931	18892	1378
932	18900	1357
933	18902	1335
934	18908	1314
935	18911	1293
936	18929	1272
937	18930	1251
938	19008	1234
939	19014	1213
940	19018	1192
941	19023	1171
942	19026	1150
943	19046	1129
944	19048	1108
945	19100	1090
946	19123	1070
947	19125	1049
948	19166	1030
949	19167	1008
950	19169	987
951	19170	966
952	19207	947
953	19211	926
954	19216	905
955	19220	884
956	19244	864
957	19274	845
958	19278	824
959	19304	804
960	19307	783
961	19308	762
962	19310	741
963	19311	721
964	19313	700
965	19316	679
966	19318	659
967	19322	638
968	19323	618
969	19324	597
970	19325	577
971	19326	556
972	19327	536
973	19329	515
974	19330	495
975	19331	475
976	19333	455
977	19334	434
978	19335	414
979	19337	394
980	19338	374
981	19339	354
982	19339	334
983	19340	314
984	19341	294
985	19342	274
986	19343	254
987	19344	234
988	19345	215
989	19346	195
990	19347	175
991	19348	156
992	19349	136
993	19350	116
994	19351	97
995	19352	77
996	19353	58
997	19354	38
998	19355	19
999	19356	0
8	19221	19
999	19223	0
