iter	RMSE
234	0.4771686162
235	0.4771463692
236	0.4771312014
237	0.4770962107
238	0.4770793832
239	0.4770507376
240	0.4769877573
241	0.4769421762
242	0.4768700193
243	0.4768198154
244	0.4767685566
245	0.4767281791
246	0.4766581428
247	0.4766112135
248	0.4765621163
249	0.4764835666
250	0.4764678075
251	0.4763866357
252	0.4763103434
253	0.4762626982
254	0.476232215
255	0.4761971092
256	0.4761188915
257	0.4760386876
258	0.4759653399
259	0.475933892
260	0.4758664866
261	0.4757736711
262	0.475717434
263	0.4756548662
264	0.4756052382
265	0.4755296948
266	0.4754802847
267	0.4754448947
268	0.4753983647
269	0.4753392198
270	0.4753029977
271	0.475269459
272	0.4752169926
273	0.4751699896
274	0.475095832
275	0.4750396638
276	0.4750040772
277	0.4749557068
278	0.4748997683
279	0.4748625752
280	0.4748458412
281	0.4747968132
282	0.4747180688
283	0.4746664851
284	0.4746023134
285	0.474567616
286	0.4745175958
287	0.4744554767
288	0.4744088722
289	0.4743255959
290	0.4742907064
291	0.474230864
292	0.4741576209
293	0.474115353
294	0.4740342853
295	0.4740045687
296	0.4739634171
297	0.4739342779
298	0.4738677442
299	0.4738454381
300	0.4738082526
301	0.4737796108
302	0.4737330416
303	0.4737064841
304	0.4736521427
305	0.4736222149
306	0.4735950273
307	0.4735569775
308	0.4734978945
309	0.4734503129
310	0.4734091163
311	0.4733557359
312	0.4733209316
313	0.4733016138
314	0.4732738999
315	0.4732231515
316	0.4731727032
317	0.4731583974
318	0.4730737985
319	0.4730224805
320	0.4729817932
321	0.4729158985
322	0.4729015351
323	0.4728518382
324	0.4728089862
325	0.4727974739
326	0.4727646958
327	0.4727386472
328	0.4726788766
329	0.4726465899
330	0.4726065563
331	0.472535634
332	0.4725058827
333	0.472445137
334	0.4723946365
335	0.4723567253
336	0.4723275324
337	0.4722726089
338	0.4722473725
339	0.4721683531
340	0.4720996141
341	0.4720536915
342	0.4719780352
343	0.4719433366
344	0.471912751
345	0.4718429891
346	0.4718108805
347	0.4717651589
348	0.471723953
349	0.4716726391
350	0.4715956668
351	0.4715511425
352	0.4715246751
353	0.4714648114
354	0.4713663907
355	0.471306614
356	0.47128923
357	0.4712735284
358	0.4712158287
359	0.4711977564
360	0.4711662203
361	0.4711123851
362	0.4711080311
363	0.4710612932
364	0.4709749653
365	0.4709233782
366	0.470899601
367	0.4708586168
368	0.4707983702
369	0.470745723
370	0.4706867714
371	0.4706310531
372	0.4705762686
373	0.4705464448
374	0.4704965804
375	0.4704686696
376	0.470396118
377	0.4703446455
378	0.4703018758
379	0.4702454169
380	0.470216402
381	0.4701823896
382	0.4701542935
383	0.4701140809
384	0.4700428934
385	0.4699770467
386	0.4699237655
387	0.4698719563
388	0.4698376352
389	0.4698180942
390	0.4697844971
391	0.4697349012
392	0.4696822108
393	0.4696531596
394	0.4696114479
395	0.4695662577
396	0.4695363462
397	0.4694811804
398	0.4694495532
399	0.4694024545
400	0.4693490808
401	0.469310116
402	0.4692689287
403	0.4692585222
404	0.4692186569
405	0.4691551031
406	0.4691061443
407	0.4690954753
408	0.4690344843
409	0.4689932725
410	0.4689405335
411	0.4689071707
412	0.4688559571
413	0.4688374925
414	0.4687821088
415	0.4687556663
416	0.4687111619
417	0.4686839943
418	0.4686586412
419	0.4686202957
420	0.4685609022
421	0.4685258614
422	0.4684840759
423	0.4684428433
424	0.4684002149
425	0.4683686106
426	0.4683212414
427	0.4682702474
428	0.4682305441
429	0.4681762577
430	0.4681328134
431	0.4681047145
432	0.4680774273
433	0.4680368671
434	0.4679839183
435	0.4679425456
436	0.4678986855
437	0.4678506565
438	0.4677997155
439	0.4677712423
440	0.4677642396
441	0.4677088073
442	0.4676885939
443	0.4676827387
444	0.4676562284
445	0.4676179148
446	0.4675852987
447	0.4675324525
448	0.4674985208
449	0.4674897172
450	0.467468831
451	0.4674290324
452	0.4673543823
453	0.4673144843
454	0.4673028113
455	0.4672644445
456	0.4672311149
457	0.4671815848
458	0.4671372619
459	0.4671023787
460	0.4670745151
461	0.4670544496
462	0.4670139831
463	0.4669914815
464	0.4669283272
465	0.4668841288
466	0.4668502409
467	0.4668005458
468	0.4667531085
469	0.4667151051
470	0.4666899202
471	0.4666575129
472	0.4666320256
473	0.4665889436
474	0.466570131
475	0.4665420882
476	0.4665092629
477	0.4664691757
478	0.4664360858
479	0.4664129489
480	0.4663576874
481	0.4663177943
482	0.4662975552
483	0.4662512022
484	0.4662052788
485	0.4661953749
486	0.4661260586
487	0.466080101
488	0.4660447051
489	0.4659984008
490	0.4659545879
491	0.4659333834
492	0.4658992277
493	0.4658583687
494	0.4658135409
495	0.4657483222
496	0.4657054406
497	0.4656872816
498	0.4656399498	0.4652448668
49500	0.4656005915
501	0.465569276501	0.4651215004
502	0.4650803278
503	0.4650364372
504	0.4649756135
505	0.4649184007
506	0.4648844059
507	0.4648274103
508	0.4647812243
509	0.46474835
510	0.4646961965
511	0.4646495627
512	0.4645854068
513	0.4645619749
514	0.464520191
515	0.4644966394
516	0.4644636783
517	0.464429968
518	0.464410915
519	0.4643828206
520	0.4643483382
521	0.4643301768
522	0.4643135224
523	0.4642841217
524	0.4642662844
525	0.4642454963
526	0.4642299444
527	0.4642118762
528	0.4641846601
529	0.4641586128
530	0.4641264702
531	0.4640931156
532	0.4640520034
533	0.4640237
534	0.4639954879
535	0.4639496149
536	0.4639208444
537	0.4638848435
538	0.4638415036
539	0.4637969155
540	0.463762799
541	0.4637413034
542	0.4636917787
543	0.4636468764
544	0.4636244727
545	0.4635538795
546	0.4635453471
547	0.463507678
548	0.4634609907
549	0.4634386896
550	0.4633981959
551	0.4633162877
552	0.4632749322
553	0.4632339352
554	0.4631665469
555	0.4631414075
556	0.4631230211
557	0.4631102415
558	0.4630524705
559	0.4629911494
560	0.4629715767
561	0.4629177962
562	0.462883746
563	0.4628360888
564	0.4628238872
565	0.4627975664
566	0.4627646745
567	0.462752
568	0.4627236955
569	0.4627145004
570	0.4626578929
571	0.4626215211
572	0.4625975108
573	0.4625386476
574	0.4624912325
575	0.4624600121
576	0.4624400738
577	0.4623996909
578	0.4623746384
579	0.4623380431
580	0.4623347201
581	0.4623217207
582	0.4622725931
583	0.4622485849
584	0.4621996982
585	0.4621648535
586	0.4621272915
587	0.462078098
588	0.4620146485
589	0.46198590	0.4625803666
591	0.4625191424
592	0.4624891073
593	0.4624608702
594	0.4624140212
595	0.4623950643
596	0.4623587723
597	0.4623375322
598	0.4623088122
599	0.4622700067
600	0.4622427348
601	0.4621518774
602	0.4621153644
603	0.4620727962
604	0.4620478131
605	0.4620036475
606	0.4619610381
607	0.4619335053
608	0.4618932765
609	0.4618782314
610	0.4618467892
611	0.4618326215
612	0.4617942796
613	0.461792162
614	0.4617678468
615	0.4617252352
616	0.4616816686
617	0.4616581776
618	0.4616276966
619	0.4615448124
620	0.4614999736
621	0.4614542507
622	0.461434526
623	0.4614041672
624	0.4613753064
625	0.461327359
626	0.461290686
627	0.461256812
628	0.4612518034
629	0.4612323289
630	0.4611759834
631	0.4611394327
632	0.4611168873
633	0.4610726273
634	0.4610476424
635	0.4610238177
636	0.4609700545
637	0.4609639945
638	0.4609241083
639	0.460827414
640	0.4608042618
641	0.4607633203
642	0.4607387783
643	0.4607084741
644	0.460681449
645	0.4606207367
646	0.4605878108
647	0.4605472977
648	0.4604969966
649	0.4604790262
650	0.4604282245
651	0.4603938284
652	0.4603563485
653	0.4603203662
654	0.4602815993
655	0.4602733549
656	0.4602169694
657	0.4601816951
658	0.460161309
659	0.4601383086
660	0.4601073712
661	0.4600766727
662	0.4600271322
663	0.4599905909
664	0.4599797064
665	0.459954709
666	0.4599104784
667	0.4598835518
668	0.4598546981
669	0.4598085833
670	0.459763999
671	0.45975365
672	0.4597260776
673	0.4596745242
674	0.4596549584
675	0.4595957669
676	0.4595750759
677	0.4595449639
678	0.459527747
679	0.4594669492
680	0.4594260899
681	0.4594028743
682	0.4593707949
683	0.4593397253
684	0.4593136887
685	0.4592785182
686	0.4592486208
687	0.4592256411
688	0.4591957725
689	0.4591261421
690	0.4591023378
691	0.4590882233
692	0.4590686969
693	0.4590365142
694	0.4589925088
695	0.4589659804
696	0.4589243512
697	0.4589001338
698	0.4588353507
699	0.45881543
700	0.4588030816
701	0.4587608007
702	0.4587433041
703	0.4587296335
704	0.4587071764
705	0.4586387564
706	0.45858452
707	0.4585460414
708	0.4584980291
709	0.4584429607
710	0.4584340337
711	0.4584158988
712	0.4583858097
713	0.4583714096
714	0.4583321059
715	0.4583032537
716	0.4582494044
717	0.4581965791
718	0.4581806362
719	0.4581338822
720	0.4580697941
721	0.4580154226
722	0.4579853203
723	0.4579443082
724	0.4579299661
725	0.4578855099
726	0.4578662832
727	0.457846727	0.458137945
728	0.458103587
729	0.45730	0.458730	0.4731	0.4577731	0.4732	0.4577358718
733	0.4577016913
734	0.4576734	0.4578805232
735	0.4578536919
736	0.4578063107
737	0.4577678504
738	0.4577235108
739	0.4577038981
740	0.4576887129
741	0.4576466643
742	0.4575950697
743	0.457561992
744	0.4575359598
745	0.45752612
746	0.4575001548
747	0.4574502552
748	0.4574384554
749	0.457411145
750	0.4573855715
751	0.457351264
752	0.4573136593
753	0.4572654475
754	0.4572269417
755	0.4572124906
756	0.4571826326
757	0.4571663829
758	0.4571387291
759	0.4570856157
760	0.4570759584
761	0.4570709342
762	0.457763	0.456807347
764	0.4567832514
765	0.4567608566
766	0.4567310612
767	0.4566688234
768	0.4566309536
769	0.4565913651
770	0.4565711383
771	0.4565350538
772	0.4565118677
773	0.4564783966
774	0.4564677673
775	0.4564275753
776	0.4564196888
777	0.4564096106
778	0.45639455
779	0.4563678575
780	0.4563026725
781	0.4562718062
782	0.4562487649
783	0.4562137139
784	0.4561698117
785	0.4561582937
786	0.4561162506
787	0.4560400437
788	0.4560269668
789	0.4560062294
790	0.4559686311
791	0.4559436745
792	0.4558897982
793	0.4558677978
794	0.4558527878
795	0.4558059892
796	0.4557670938
797	0.4556993902
798	0.455668089
799	0.4556053176
800	0.4555660574
801	0.4555579015
802	0.4555336301
803	0.4554969797
804	0.4554488596
805	0.455405376
806	0.4553927404
807	0.4553182876
808	0.4552881669
809	0.4552505153
810	0.4552195311
811	0.4551849648
812	0.4551604163
813	0.4551414561
814	0.4550844693
815	0.455056064
816	0.4550462402
817	0.4550075954
818	0.4549854724
819	0.4549368016
820	0.4549083723
821	0.4548903221
822	0.4548570078
823	0.4548528336
824	0.454819584
825	0.4548005371
826	0.4547881717
827	0.4547591839
828	0.4547242426
829	0.4547020174
830	0.4546533007
831	0.454603965
832	0.4545865033
833	0.4545585849
834	0.4545411379
835	0.4545150379
836	0.4544855644
837	0.4544618213
838	0.4544515591
839	0.4544130523
840	0.4543711274
841	0.4543546614
842	0.4543134534
843	0.45429937
844	0.4542911407
845	0.4542528349
846	0.45420497
847	0.4541828579
848	0.4541591182
849	0.4541479637
850	0.4541174856
851	0.4540850453
852	0.4540691008
853	0.4539996653
854	0.453984354
855	0.4539517212
856	0.453928854
857	0.4538846796
858	0.4538634412
859	0.4538407218
860	0.453812323
861	0.4538019129
862	0.453773407
863	0.4537318723
864	0.4536780005
865	0.4536353338
866	0.4536065226
867	0.4535894609
868	0.4535666142
869	0.4535298014
870	0.4534968538
871	0.4534742464
872	0.4534431598
873	0.4534151916
874	0.4534040567
875	0.4533911953
876	0.4533460352
877	0.4533357072
878	0.4532736794
879	0.4532398531
880	0.4531966344
881	0.4531840575
882	0.4531617698
883	0.4531378872
884	0.4531251994
885	0.4530865847
886	0.4530742684
887	0.4530435559
888	0.4530236126
889	0.4529904112
890	0.4529590006
891	0.4529094833
892	0.4528940371
893	0.4528446841
894	0.4528057641
895	0.4527561325
896	0.4527445904
897	0.4527198861
898	0.452692748
899	0.4526545366
900	0.4526049857
901	0.4525647812
902	0.4525374382
9903	0.4526793995
904	0.4526510875
905	0.4526350022
906	0.4526025108
907	0.4525691763
908	0.452552466
909	0.4525122328
910	0.4524721346
911	0.4524431274
912	0.4524297652
913	0.4524215175
914	0.4524062868
915	0.4523663216
916	0.4523599819
917	0.4523251561
918	0.4522938773
919	0.4522679676
920	0.4522374354
921	0.4522011145
922	0.4521632546
923	0.4521429771
924	0.4521260231
925	0.4520829921
926	0.4520520955
927	0.4520185967
928	0.4520031284
929	0.4519661509
930	0.4519052604
931	0.4518805894
932	0.451855002
933	0.4518227938
934	0.4517967571
935	0.4517280552
936	0.4517110112
937	0.4516835993
938	0.4516133639
939	0.4515877376
940	0.4515512813
941	0.4515077898
942	0.4515006189
943	0.4514885953
944	0.4514627562
945	0.4514447912
946	0.4513930497
947	0.4513633733
948	0.4513030579
949	0.4512959885
950	0.4512757882
951	0.4512291866
952	0.4512001764
953	0.4511701332
954	0.4511454962
955	0.451115202
956	0.4510932581
957	0.4510798286
958	0.4510366502
959	0.4510197525
960	0.4510126423
961	0.4509982585
962	0.4509915631
963	0.4509619344
964	0.4509271195
965	0.4509015198
966	0.4508704645
967	0.4508363559
968	0.4508098536
969	0.4507664395
970	0.4507081601
971	0.450674629
972	0.4506452454
973	0.4506316077
974	0.4505728815
975	0.4505612643
976	0.4505576832
977	0.4505118021
978	0.4504673683
979	0.4504240176
980	0.4503976837
981	0.4503795381
982	0.4503337202
983	0.4503165964
984	0.4502715456
985	0.4502235091
986	0.4501563605
987	0.4501326476
988	0.4501145383
989	0.450065873
990	0.4500548517
991	0.4500065527
992	0.4499808102
993	0.4499576697
994	0.4499460059
995	0.4499001079
996	0.4498750259
997	0.4498712235
998	0.4498461932
999	0.4498254673
